,UserID,MovieID,Rating,Timestamp,username
0,196,242,3,881250949,196
1,186,302,3,891717742,186
2,22,377,1,878887116,22
3,244,51,2,880606923,244
4,166,346,1,886397596,166
5,298,474,4,884182806,298
6,115,265,2,881171488,115
7,253,465,5,891628467,253
8,305,451,3,886324817,305
9,6,86,3,883603013,6
10,62,257,2,879372434,62
11,286,1014,5,879781125,286
12,200,222,5,876042340,200
13,210,40,3,891035994,210
14,224,29,3,888104457,224
15,303,785,3,879485318,303
16,122,387,5,879270459,122
17,194,274,2,879539794,194
18,291,1042,4,874834944,291
19,234,1184,2,892079237,234
20,119,392,4,886176814,119
21,167,486,4,892738452,167
22,299,144,4,877881320,299
23,291,118,2,874833878,291
24,308,1,4,887736532,308
25,95,546,2,879196566,95
26,38,95,5,892430094,38
27,102,768,2,883748450,102
28,63,277,4,875747401,63
29,160,234,5,876861185,160
30,50,246,3,877052329,50
31,301,98,4,882075827,301
32,225,193,4,879539727,225
33,290,88,4,880731963,290
34,97,194,3,884238860,97
35,157,274,4,886890835,157
36,181,1081,1,878962623,181
37,278,603,5,891295330,278
38,276,796,1,874791932,276
39,7,32,4,891350932,7
40,10,16,4,877888877,10
41,284,304,4,885329322,284
42,201,979,2,884114233,201
43,276,564,3,874791805,276
44,287,327,5,875333916,287
45,246,201,5,884921594,246
46,242,1137,5,879741196,242
47,249,241,5,879641194,249
48,99,4,5,886519097,99
49,178,332,3,882823437,178
50,251,100,4,886271884,251
51,81,432,2,876535131,81
52,260,322,4,890618898,260
53,25,181,5,885853415,25
54,59,196,5,888205088,59
55,72,679,2,880037164,72
56,87,384,4,879877127,87
57,290,143,5,880474293,290
58,42,423,5,881107687,42
59,292,515,4,881103977,292
60,115,20,3,881171009,115
61,20,288,1,879667584,20
62,201,219,4,884112673,201
63,13,526,3,882141053,13
64,246,919,4,884920949,246
65,138,26,5,879024232,138
66,167,232,1,892738341,167
67,60,427,5,883326620,60
68,57,304,5,883698581,57
69,223,274,4,891550094,223
70,189,512,4,893277702,189
71,243,15,3,879987440,243
72,92,1049,1,890251826,92
73,246,416,3,884923047,246
74,194,165,4,879546723,194
75,241,690,2,887249482,241
76,178,248,4,882823954,178
77,254,1444,3,886475558,254
78,293,5,3,888906576,293
79,127,229,5,884364867,127
80,225,237,5,879539643,225
81,299,229,3,878192429,299
82,225,480,5,879540748,225
83,276,54,3,874791025,276
84,291,144,5,874835091,291
85,222,366,4,878183381,222
86,267,518,5,878971773,267
87,42,403,3,881108684,42
88,11,111,4,891903862,11
89,95,625,4,888954412,95
90,8,338,4,879361873,8
91,162,25,4,877635573,162
92,87,1016,4,879876194,87
93,279,154,5,875296291,279
94,145,275,2,885557505,145
95,119,1153,5,874781198,119
96,62,498,4,879373848,62
97,62,382,3,879375537,62
98,28,209,4,881961214,28
99,135,23,4,879857765,135
100,32,294,3,883709863,32
101,90,382,5,891383835,90
102,286,208,4,877531942,286
103,293,685,3,888905170,293
104,216,144,4,880234639,216
105,166,328,5,886397722,166
106,250,496,4,878090499,250
107,271,132,5,885848672,271
108,160,174,5,876860807,160
109,265,118,4,875320714,265
110,198,498,3,884207492,198
111,42,96,5,881107178,42
112,168,151,5,884288058,168
113,110,307,4,886987260,110
114,58,144,4,884304936,58
115,90,648,4,891384754,90
116,271,346,4,885844430,271
117,62,21,3,879373460,62
118,279,832,3,881375854,279
119,237,514,4,879376641,237
120,94,789,4,891720887,94
121,128,485,3,879966895,128
122,298,317,4,884182806,298
123,44,195,5,878347874,44
124,264,200,5,886122352,264
125,194,385,2,879524643,194
126,72,195,5,880037702,72
127,222,750,5,883815120,222
128,250,264,3,878089182,250
129,41,265,3,890687042,41
130,224,245,3,888082216,224
131,82,135,3,878769629,82
132,262,1147,4,879791710,262
133,293,471,3,888904884,293
134,216,658,3,880245029,216
135,250,140,3,878092059,250
136,59,23,5,888205300,59
137,286,379,5,877533771,286
138,244,815,4,880605185,244
139,7,479,4,891352010,7
140,174,368,1,886434402,174
141,87,274,4,879876734,87
142,194,1211,2,879551380,194
143,82,1134,2,884714402,82
144,13,836,2,882139746,13
145,13,272,4,884538403,13
146,244,756,2,880605157,244
147,305,427,5,886323090,305
148,95,787,2,888954930,95
149,43,14,2,883955745,43
150,299,955,4,889502823,299
151,57,419,3,883698454,57
152,84,405,3,883452363,84
153,269,504,4,891449922,269
154,299,111,3,877878184,299
155,194,466,4,879525876,194
156,160,135,4,876860807,160
157,99,268,3,885678247,99
158,10,486,4,877886846,10
159,259,117,4,874724988,259
160,85,427,3,879456350,85
161,303,919,4,879467295,303
162,213,273,5,878870987,213
163,121,514,3,891387947,121
164,90,98,5,891383204,90
165,49,559,2,888067405,49
166,42,794,3,881108425,42
167,155,323,2,879371261,155
168,68,117,4,876973939,68
169,172,177,4,875537965,172
170,19,4,4,885412840,19
171,268,231,4,875744136,268
172,5,2,3,875636053,5
173,305,117,2,886324028,305
174,44,294,4,883612356,44
175,43,137,4,875975656,43
176,279,1336,1,875298353,279
177,80,466,5,887401701,80
178,254,164,4,886472768,254
179,298,281,3,884183336,298
180,279,1240,1,892174404,279
181,66,298,4,883601324,66
182,18,443,3,880130193,18
183,268,1035,2,875542174,268
184,99,79,4,885680138,99
185,13,98,4,881515011,13
186,26,258,3,891347949,26
187,7,455,4,891353086,7
188,222,755,4,878183481,222
189,200,673,5,884128554,200
190,119,328,4,876923913,119
191,213,172,5,878955442,213
192,276,322,3,874786392,276
193,94,1217,3,891723086,94
194,130,379,4,875801662,130
195,38,328,4,892428688,38
196,160,719,3,876857977,160
197,293,1267,3,888906966,293
198,26,930,2,891385985,26
199,130,216,4,875216545,130
200,92,1079,3,886443455,92
201,256,452,4,882164999,256
202,1,61,4,878542420,1
203,72,48,4,880036718,72
204,56,755,3,892910207,56
205,13,360,4,882140926,13
206,15,405,2,879455957,15
207,92,77,3,875654637,92
208,207,476,2,884386343,207
209,292,174,5,881105481,292
210,232,483,5,888549622,232
211,251,748,2,886272175,251
212,224,26,3,888104153,224
213,181,220,4,878962392,181
214,259,255,4,874724710,259
215,305,471,4,886323648,305
216,52,280,3,882922806,52
217,161,202,5,891170769,161
218,148,408,5,877399018,148
219,125,235,2,892838559,125
220,97,228,5,884238860,97
221,58,1098,4,884304936,58
222,83,234,4,887665548,83
223,90,347,4,891383319,90
224,272,178,5,879455113,272
225,194,181,3,879521396,194
226,125,478,4,879454628,125
227,110,688,1,886987605,110
228,299,14,4,877877775,299
229,151,10,5,879524921,151
230,269,127,4,891446165,269
231,6,14,5,883599249,6
232,54,106,3,880937882,54
233,303,69,5,879467542,303
234,16,944,1,877727122,16
235,301,790,4,882078621,301
236,276,1091,3,874793035,276
237,305,214,2,886323068,305
238,194,1028,2,879541148,194
239,91,323,2,891438397,91
240,87,554,4,879875940,87
241,294,109,4,877819599,294
242,286,171,4,877531791,286
243,200,318,5,884128458,200
244,229,328,1,891632142,229
245,178,568,4,882826555,178
246,303,842,2,879484804,303
247,62,65,4,879374686,62
248,207,591,3,876018608,207
249,92,172,4,875653271,92
250,301,401,4,882078040,301
251,36,339,5,882157581,36
252,70,746,3,884150257,70
253,63,242,3,875747190,63
254,28,201,3,881961671,28
255,279,68,4,875307407,279
256,250,7,4,878089716,250
257,14,98,3,890881335,14
258,299,1018,3,889502324,299
259,194,54,3,879525876,194
260,303,815,3,879485532,303
261,119,237,5,874775038,119
262,295,218,5,879966498,295
263,268,930,2,875742942,268
264,268,2,2,875744173,268
265,66,258,4,883601089,66
266,233,202,5,879394264,233
267,83,623,4,880308578,83
268,214,334,3,891542540,214
269,192,476,2,881368243,192
